"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C4, C6","3","0.1uf","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"2","C2, C3","2","18pf","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"3","C5, C7","2","22uf 10V","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",""
"4","C8","1","47uf 10V","Capacitor_Tantalum_SMD:CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder",""
"5","D1","1","LED","Tersteeg:1204 Side Emitting LED",""
"6","J1","1","DB19_Plug","Tersteeg:DSUB-19_Male_Vertical_P2.77x2.84mm_Narrow_MountingHoles",""
"7","J2","1","ICSP","Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical",""
"8","J3","1","SD_Card_Push_Pull","TE SD Card 2041021-3:2041021-3_2",""
"9","R1, R2, R4, R5, R6, R7, R8","7","10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"10","R3","1","470R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"11","SW1","1","SW_SPST","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK",""
"12","U1","1","ATmega328P-A","Package_QFP:TQFP-32_7x7mm_P0.8mm",""
"13","U2","1","4050","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm",""
"14","U3","1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"15","Y1","1","16MHz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",""
